,<n_e>,<n_e> Err,Blob Size [rhos],Blob size Err [rhos],Cs,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vP,vP Err,vPExB,vPExB Err,vR,vR Err,Z,Mu,Conf
38,2.57105906768e+19,inf,37.3551886432,78.764777495,34213.9899296,186756.203125,1350.75390625,0.117093010545,0.0,1.05146654571,0.00215094692492,,57461.0,3.07871975661e-06,1.46642705718e-06,,,-8350.24787575,13149.9835047,23105.481675,38287.0787104,12134.7637703,16002.5017357,1,2,LSN
39,2.56823772084e+19,inf,2.2223233955,,43391.3059143,186757.90625,1350.54614258,,,1.06415976429,0.0027391304687,,57461.0,1.45789696454e-06,9.93668913306e-08,,,inf,,3438.38079374,4455.11141489,2368.77731103,2826.70348108,1,2,LSN
40,6.50912115096e+19,inf,33.5271491325,45.3914174217,53506.9999733,118711.484375,89590.40625,0.554074367894,0.142157323931,1.00526836916,0.00328119257439,,57461.0,5.93359597487e-06,7.66196320777e-08,,,8230.95862039,1273.66071419,18009.4032634,21998.2220976,4403.86366836,5922.91664643,1,2,LSN
41,6.49645741584e+19,inf,26.300978405,49.2475313815,47087.8900559,121026.625,88940.7890625,0.981216977701,0.098404405327,1.02336025659,0.00290647073466,,57461.0,7.82958605005e-06,3.00119185858e-07,,,-11133.6638343,2838.53845745,9711.47337674,12485.6821848,1005.17437672,1864.222465,1,2,LSN
42,6.48077354218e+19,inf,14.8375483021,20.147242801,37876.603414,123337.09375,88240.3828125,0.549161027282,0.0652973711685,1.04284140697,0.00235019003915,,57461.0,7.99996665353e-06,5.45561998094e-07,,,-5566.83191717,787.268919671,4102.07959571,5915.63182434,1474.09501069,1988.18218979,1,2,LSN
43,6.46847440511e+19,inf,7.89750552896,11.6266119064,34213.9899296,125765.703125,87433.21875,0.61534039861,0.0,1.05714224861,0.00212982409701,,57461.0,5.31998652619e-06,6.23729582646e-07,,,-8230.95862039,1273.66071419,2960.80924336,4686.98084947,1109.08513551,1618.5222365,1,2,LSN
44,6.45675844901e+19,inf,10.2634360426,13.6048768113,43391.3059143,127801.3125,86706.0703125,,,1.07162242179,0.00271345314975,,57461.0,8.56992481141e-06,3.73623191144e-07,,,-10576.9806426,3431.62566224,3062.82825942,3948.06010377,1085.99332727,1394.96898608,1,2,LSN
45,3.89662522837e+19,inf,,,,335868.34375,977.539855957,31.2310833734,97.3613642457,1.0069521273,,,57497.0,9.45821553367e-06,1.06982546257e-07,,,3580.82701699,4553.98973849,15042.6028258,16942.0644039,12624.6604836,14780.7791725,1,2,LSN
46,3.89357430351e+19,inf,6.56410897458,,37064.3956761,335878.125,976.66998291,0.606891457734,0.270573059606,1.0236218942,0.00132445850368,,57497.0,1.95948984667e-06,3.90996170436e-08,,,inf,,4282.92046886,5857.76204205,1158.40472915,1692.07746356,1,2,LSN
47,3.8913233833e+19,inf,8.89687994228,,33662.7504568,335875.03125,976.505859375,1.13405922507,0.131298344981,1.03819610413,0.00120817020674,,57497.0,2.78326808345e-06,1.3887415381e-07,,,inf,,3492.23419424,4631.90049046,1649.01311801,2839.28548182,1,2,LSN
48,3.88946696787e+19,inf,15.7198635377,,26862.2537582,335860.53125,982.631652832,1.09486202034,0.084374124317,1.05373300115,0.000968923239953,,57497.0,8.22862019214e-06,5.38684644028e-07,,,inf,,1812.31407517,2458.44749287,376.554094925,572.651838166,1,2,LSN
49,3.88650268452e+19,inf,19.1236590583,,31232.3856563,335842.875,985.322753906,1.01800135236,0.153225444288,1.06817075665,0.00113385401078,,57497.0,1.06277132214e-05,3.02032636764e-08,,,inf,,1872.91461952,2385.8005633,809.262131923,989.908847741,1,2,LSN
50,9.28456997445e+19,inf,25.3353689304,,42064.3065393,335635.0625,971.18762207,8.81960051855,4.28560512411,1.01151250577,0.00148501873087,0.0,57497.0,2.0105958225e-06,9.19074512587e-07,,,inf,,9549.61226611,13385.2701612,16092.442771,22304.9427199,1,2,LSN
51,9.24084195721e+19,inf,24.3847661843,43.5061846812,38217.189811,335676.5,983.418334961,14.5845782141,3.61870911029,1.0204181806,0.0013528283109,2.60836576898e-05,57497.0,4.27975590459e-06,1.0286563162e-06,,,-6587.41776865,798.128314307,6250.91315459,10256.9146737,4509.9340965,7954.32304875,1,2,LSN
52,9.20120764166e+19,inf,10.9170336127,13.9205642145,30291.6104193,335684.65625,999.040344238,5.24671012721,0.918398908281,1.0370014976,0.00107780974943,0.000114416812058,57497.0,2.8320325489e-06,4.35489867296e-08,,,-4532.99170398,674.801931147,3896.14819864,4893.53128765,1443.00533919,1827.29286341,1,2,LSN
53,9.17225090343e+19,inf,0.0,,27593.6740797,335686.3125,1000.23175049,3.38460166929,0.5436818733,1.05446389439,0.000987950229307,4.02194813423e-05,57497.0,2.3293183373e-07,7.493862085e-09,,,inf,,0.0,3112.48366676,0.0,5491.43470614,1,2,LSN
54,9.14333374762e+19,inf,32.7438054054,51.1709062868,30435.5187612,335680.1875,1001.46142578,2.74904005791,0.0713132881692,1.0687476394,0.00109579712303,0.00018586869373,57497.0,2.0365562383e-05,3.35825991067e-07,,,-12843.4764946,12337.1980399,1615.36926383,2030.52306509,703.286103465,866.855416676,1,2,LSN
